Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
3,0,-0.5657364610748746,0.4327933656785018,-0.4736736092984604,-0.5024451714361923,2,0
3,1,-0.2583370877897099,-0.47454519624983954,-0.4736736092984604,-0.4888542575852486,2,1
1,1,0.4333115021019107,0.4327933656785018,-0.4736736092984604,0.4207302360686478,2,1
3,0,0.4333115021019107,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,2,0
3,0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.47811642890864375,1,0
1,0,1.893458525206443,-0.47454519624983954,-0.4736736092984604,0.395813560675251,2,0
3,1,-0.1814872444684187,-0.47454519624983954,2.0089333664952354,-0.4242561406845337,2,1
2,1,-1.180535207645204,0.4327933656785018,-0.4736736092984604,-0.04295550208861426,0,1
3,1,-1.949033640858116,0.4327933656785018,0.7676298785983874,-0.312172377522981,2,1
3,0,-0.719436147717457,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,2,0
3,0,0.7407108753870755,0.4327933656785018,5.73284383018578,-0.01870931177853076,2,0
3,1,-1.180535207645204,-0.47454519624983954,-0.4736736092984604,-0.4902797934380587,2,0
2,0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,2,1
3,1,0.12591212881674602,0.4327933656785018,-0.4736736092984604,-0.2859972841804228,2,0
3,1,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.5029485386158568,0,1
2,0,0.4333115021019107,-0.47454519624983954,-0.4736736092984604,-0.12491978668775715,2,0
2,0,0.35646165878061953,-0.47454519624983954,-0.4736736092984604,-0.3866707201133388,2,1
3,1,-1.1036853643239128,-0.47454519624983954,-0.4736736092984604,-0.4867562231804066,1,1
1,0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,0.06635974158478332,2,1
3,1,-1.6416342675729512,2.2474704895351842,0.7676298785983874,-0.22408312108167944,2,0
3,1,0.6638610320657843,0.4327933656785018,5.73284383018578,-0.016444159470040135,2,1
3,0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.5029485386158568,0,0
3,1,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.48977642625839407,1,1
3,0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.4894421904510968,2,0
1,0,0.8175607187083667,-0.47454519624983954,-0.4736736092984604,-0.09027201697708476,0,0
3,1,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.49237782784290063,1,1
1,0,0.9712604053509489,0.4327933656785018,-0.4736736092984604,0.39858208016340624,2,0
3,0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.5028639729296732,0,1
3,0,-0.6425863043961658,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,2,0
3,1,-0.8731358343600393,1.340131927606843,-0.4736736092984604,-0.2859972841804228,2,0
3,1,-1.180535207645204,0.4327933656785018,-0.4736736092984604,-0.42207354059350805,0,1
3,1,0.8175607187083667,0.4327933656785018,-0.4736736092984604,-0.4576454924460446,2,0
2,1,-0.1814872444684187,0.4327933656785018,-0.4736736092984604,-0.22559322262067316,2,0
3,0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.4894421904510968,0,0
2,1,-2.025883484179407,0.4327933656785018,2.0089333664952354,0.18876253192945994,0,1
3,1,-0.7962859910387481,-0.47454519624983954,-0.4736736092984604,-0.48977642625839407,1,1
3,0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.4863374216869257,2,0
3,0,-0.10463740114712752,0.4327933656785018,-0.4736736092984604,-0.3363340021468808,1,0
3,1,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.49237782784290063,1,1
3,0,-0.10463740114712752,1.340131927606843,-0.4736736092984604,-0.21191774308354583,0,0
3,1,-0.8731358343600393,0.4327933656785018,-0.4736736092984604,-0.29002422161773944,2,0
3,0,-1.7184841108942424,3.1548090514635256,0.7676298785983874,0.1506737441786005,2,0
3,0,-0.6425863043961658,-0.47454519624983954,-0.4736736092984604,-0.4913710934835715,2,0
2,1,-0.027787557825836348,0.4327933656785018,-0.4736736092984604,-0.12491978668775715,2,1
1,0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,0.06635974158478332,2,1
2,1,-0.6425863043961658,-0.47454519624983954,-0.4736736092984604,-0.43700743807979686,2,1
3,0,-0.06621247948648194,-0.47454519624983954,-0.4736736092984604,-0.5028639729296732,0,0
2,1,-1.8721837975368247,0.4327933656785018,2.0089333664952354,-0.08968408411123653,2,1
3,0,-1.4110847376090776,4.0621476133918675,2.0089333664952354,0.2958951755118318,2,0
3,0,-0.5657364610748746,-0.47454519624983954,-0.4736736092984604,-0.5028639729296732,0,0
3,0,-1.949033640858116,2.2474704895351842,2.0089333664952354,-0.08666388103324908,2,0
1,0,-0.10463740114712752,-0.47454519624983954,-0.4736736092984604,-0.09027201697708476,0,0
3,0,-0.10463740114712752,0.4327933656785018,0.7676298785983874,-0.3414522396297103,0,1
2,1,-0.027787557825836348,-0.47454519624983954,-0.4736736092984604,-0.43700743807979686,2,1
3,0,-0.7962859910387481,-0.47454519624983954,-0.4736736092984604,-0.4841568350646187,2,0
3,1,-0.9499856776813305,3.1548090514635256,2.0089333664952354,-0.4888542575852486,2,1
3,0,-0.2583370877897099,1.340131927606843,-0.4736736092984604,-0.47400492578514347,2,0
2,0,0.20276197213803718,-0.47454519624983954,-0.4736736092984604,-0.43700743807979686,2,0
